Time,P (deg/s),Q (deg/s),R (deg/s),P dot (deg/s^2),Q dot (deg/s^2),R dot (deg/s^2),P_{inertial} (deg/s),Q_{inertial} (deg/s),R_{inertial} (deg/s),q bar (psf),Reynolds Number,V_{Total} (ft/s),V_{Inertial} (ft/s),UBody,VBody,WBody,UdotBody,VdotBody,WdotBody,UdotBody_i,VdotBody_i,WdotBody_i,BodyAccel_X,BodyAccel_Y,BodyAccel_Z,Aero V_{X Body} (ft/s),Aero V_{Y Body} (ft/s),Aero V_{Z Body} (ft/s),V_{X_{inertial}} (ft/s),V_{Y_{inertial}} (ft/s),V_{Z_{inertial}} (ft/s),V_{X_{ecef}} (ft/s),V_{Y_{ecef}} (ft/s),V_{Z_{ecef}} (ft/s),V_{North} (ft/s),V_{East} (ft/s),V_{Down} (ft/s)
0,0,0,0,-7.604589706430764e-07,-4.575951174495041e-09,5.127873396034071e-09,0.003389393521041107,0.0004161654954477694,0.00240730581655503,0,0,0,1247.1756605,0,0,0,0.100811942313719,0.01237815900089519,32.07247286841595,22.53617029285362,-13.45279645713272,18.56240237476324,0,0,0,0,0,0,-639.2573841733896,-1070.886140037994,0,0,0,0,0,0,0
0.657,6.152232767563042e-05,-4.150815603418145e-07,1.551295728585288e-05,-0.0002964379213546472,-8.714351020028408e-06,-7.935491061299824e-05,0.002759505266529523,0.0004157644668143405,0.003178420812362163,2.329701405e-15,0.01024039056,1.40012421638e-06,1247.17548281,-3.185155580869313e-08,1.389497691581983e-06,1.692024372248649e-07,-1.430286450096463e-06,-7.804382276328792e-06,7.322750358411401e-07,0.07809814246000413,-0.04660624065767152,-1.146692006681604e-06,7.743519457441952,-0.01257196440203358,-31.12381896752232,-3.185155580869313e-08,1.389497691581983e-06,1.692024372248649e-07,-639.206689874318,-1070.916193055466,2.459308410704872e-07,-6.745539865006064e-07,-1.202016123848822e-06,2.459308410710376e-07,1.797417509595663e-07,1.377862059411954e-06,1.718629380679692e-07
1.274,2.769216963837521e-06,-1.165477644863746e-07,6.983863340958258e-07,-5.392575329593228e-06,-5.805933540830673e-06,-1.774137032400579e-06,0.002700752181622927,0.0004160635092408282,0.003163606152476616,8.828864317e-18,0.0006304037836,8.61923769833e-08,1247.1754815,-1.221961100151864e-08,6.295252162260446e-08,5.75915530121605e-08,1.62319766211505e-06,-5.845659530653163e-07,-4.612780612797684e-06,0.0780912609297216,-0.04660547884571091,-2.502116009023281e-06,7.743522468071526,-0.01257152105823503,-31.12382432069396,-1.221961100151864e-08,6.295252162260446e-08,5.75915530121605e-08,-639.1585055126839,-1070.944950255421,4.19782048989894e-08,4.509391656619136e-09,-7.514400541883743e-08,4.19782048991526e-08,9.886862145226363e-09,6.221097352424409e-08,5.883171406768109e-08
1.93,1.192208512830765e-07,-5.839089205693553e-08,3.615163524506568e-08,-1.974878780639478e-05,-2.605864393653459e-05,-1.820280888038045e-05,0.002698102188001021,0.0004161216888706814,0.003162943912663595,4.231263125e-20,4.364167455e-05,5.96693700643e-09,1247.17548144,4.315156588937106e-09,2.079175320247487e-09,-3.558200505776683e-09,-1.835773524430651e-06,-1.712872125230608e-07,1.284226205176819e-06,0.07809868156363525,-0.04660559014896146,-2.30421988142715e-07,7.743518994045227,-0.01257141080959354,-31.12381842734677,4.315156588937106e-09,2.079175320247487e-09,-3.558200505776683e-09,-639.1072747751834,-1070.975523915087,2.999636419716705e-10,-5.765303028678787e-09,1.508522469134943e-09,2.999636419733621e-10,3.542960606004267e-09,1.659795644260857e-09,-4.505202082313096e-09
2.577,2.930000254260123e-08,-1.458073020337896e-08,-4.95357628478646e-09,-2.269301987409844e-05,-6.085449435148476e-06,2.079761980976805e-05,0.002698012267267975,0.0004161655000997014,0.003162902807217702,3.524123535e-20,3.982831669e-05,5.44555311371e-09,1247.17548144,-3.422015585385186e-09,6.27735125779233e-10,4.189248937397121e-09,3.932785104354686e-06,1.916556477184889e-07,-4.365089417167345e-06,0.07809403351291835,-0.04659764173143067,-7.459406130283508e-07,7.743524761941894,-0.01257106211838104,-31.12382407684983,-3.422015585385186e-09,6.27735125779233e-10,4.189248937397121e-09,-639.0567454459252,-1071.00567579912,1.0241367033777e-09,4.063880770773987e-09,-3.477077193300412e-09,1.024136703385234e-09,-2.200357298592687e-09,9.025897623728878e-10,4.89875578017998e-09
3.244,-1.888386526457838e-08,-5.33500944320491e-08,-8.945392601702908e-09,-2.81994016713594e-05,-1.564093143672416e-05,1.955153045763563e-06,0.002697964083458403,0.0004161267306872798,0.003162898815362936,3.684734469e-19,0.0001287862472,1.76083853885e-08,1247.17548143,5.383420706304598e-09,-1.980025841796888e-09,-1.664792825413009e-08,7.941674027844847e-07,1.14798309548865e-06,-1.677228560228311e-06,0.07809914667936785,-0.04659698570005567,-6.426906463546933e-07,7.74352162275674,-0.01257010510231138,-31.12382138916007,5.383420706304598e-09,-1.980025841796888e-09,-1.664792825413009e-08,-639.0046526957116,-1071.036757221524,-9.323800915300278e-09,-1.161874065684467e-08,9.387589575177901e-09,-9.323800915385368e-09,9.000005785478252e-10,-2.105295900127982e-09,-1.745889355383848e-08
